sale_id,date,customer_id,product_id,quantity,unit_price,revenue,cost,profit
94,2022-01-10,75,15,5,1939,9695,6323.519670542686,3371.480329457314
95,2022-09-18,209,71,5,1213,6065,4849.001261093241,1215.9987389067592
96,2023-10-12,183,43,1,1075,1075,810.091551972819,264.90844802718095
97,2022-06-21,435,94,1,3481,3481,2660.90716468511,820.0928353148902
98,2022-01-13,107,91,4,569,2276,1377.6011824682505,898.3988175317495
99,2022-06-17,188,81,2,4264,8528,5218.4312358107945,3309.5687641892055
100,2023-10-04,264,18,5,2876,14380,10677.479217337912,3702.520782662088
101,2023-08-19,86,22,2,2705,5410,3453.5631497713216,1956.4368502286784
102,2022-11-17,324,61,1,1417,1417,970.83075033774,446.16924966226
103,2022-11-15,331,61,5,3245,16225,10332.62055325542,5892.3794467445805
104,2023-09-05,456,53,1,1242,1242,789.1846613725281,452.8153386274719
105,2022-11-25,137,26,1,4650,4650,2891.4415650710857,1758.5584349289143
106,2023-07-04,346,91,3,3033,9099,6540.834548935469,2558.165451064531
107,2023-02-23,386,40,1,2337,2337,1747.7494617500513,589.2505382499487
108,2023-08-29,336,88,4,1876,7504,4587.7123791206495,2916.2876208793505
109,2022-04-05,95,8,1,909,909,595.4953248675968,313.50467513240324
110,2023-08-04,326,21,5,3507,17535,12829.897974045887,4705.102025954113
111,2022-11-14,245,93,4,3452,13808,9368.21992763527,4439.780072364731
112,2022-08-24,469,43,1,4742,4742,3513.5051276913964,1228.4948723086036
113,2022-11-30,90,21,4,2179,8716,6553.086621465815,2162.9133785341846
114,2023-01-11,59,3,1,2214,2214,1342.6997991056944,871.3002008943056
115,2023-04-04,403,31,4,1697,6788,4589.855235010084,2198.1447649899164
116,2022-05-17,28,27,2,2837,5674,4231.826880114167,1442.1731198858333
117,2023-08-11,72,27,3,3716,11148,7532.516276938876,3615.483723061124
118,2023-07-01,270,73,4,3456,13824,8310.527639615275,5513.472360384725
119,2023-05-28,24,57,5,3693,18465,12320.96672926329,6144.033270736711
120,2022-10-23,112,97,3,526,1578,1222.2092099316844,355.7907900683156
121,2022-11-16,300,33,3,3637,10911,8623.921053815795,2287.078946184205
122,2023-07-26,485,90,1,3473,3473,2473.1348599586104,999.8651400413896
123,2022-12-15,56,92,4,3665,14660,9694.247822116287,4965.752177883713
124,2022-08-17,474,44,3,1590,4770,3306.625292763508,1463.3747072364922
125,2022-09-27,223,43,5,749,3745,2423.9164417459733,1321.0835582540267
126,2022-10-18,120,31,5,641,3205,2030.7685700137192,1174.2314299862808
127,2023-12-26,179,65,5,766,3830,2676.048021746937,1153.9519782530629
128,2022-06-14,288,84,1,4810,4810,3594.6899972840047,1215.3100027159953
129,2022-01-05,434,76,2,988,1976,1273.5180992501664,702.4819007498336
130,2023-01-14,425,17,4,995,3980,3111.991701141398,868.0082988586018
131,2022-03-19,450,15,3,979,2937,1861.0169150021418,1075.9830849978582
132,2023-02-14,281,34,4,3190,12760,9081.066343136676,3678.9336568633244
133,2023-07-28,372,80,3,4596,13788,10413.754473739793,3374.245526260207
134,2022-05-12,492,4,1,3580,3580,2300.786153605281,1279.213846394719
135,2023-08-24,189,72,4,2927,11708,7718.954317019615,3989.045682980385
136,2022-02-11,66,98,1,1343,1343,819.6286692366205,523.3713307633795
137,2022-03-30,298,89,1,3715,3715,2930.3536588672077,784.6463411327923
138,2023-02-06,449,79,4,4411,17644,12304.827475989943,5339.172524010057
139,2022-10-23,420,28,4,4577,18308,11220.263490576617,7087.736509423383
140,2022-10-22,249,73,3,2849,8547,6547.218774431063,1999.7812255689369
141,2023-09-08,76,2,5,1149,5745,4101.176438748035,1643.8235612519647
142,2023-06-10,137,17,1,2393,2393,1462.259265813911,930.740734186089
143,2023-11-22,164,58,2,3356,6712,4632.48355639316,2079.51644360684
144,2023-09-29,233,74,3,3750,11250,7727.406845932298,3522.593154067702
145,2023-02-26,255,9,3,2886,8658,5447.755129624396,3210.2448703756036
146,2022-01-23,476,31,5,2225,11125,7610.329500219203,3514.6704997807974
147,2023-07-29,294,66,5,1854,9270,6086.324207413621,3183.6757925863794
148,2022-05-23,417,88,1,1793,1793,1326.7991636388977,466.20083636110235
149,2023-10-27,170,62,3,3546,10638,6394.484672478662,4243.515327521338
150,2022-05-25,317,19,3,3758,11274,7004.256477228677,4269.743522771323
151,2022-08-13,174,81,2,3213,6426,5036.247449388424,1389.7525506115762
152,2023-05-18,470,74,1,903,903,620.0599989141981,282.9400010858019
153,2023-09-08,345,55,1,4472,4472,2840.7771581491775,1631.2228418508225
154,2022-04-14,445,28,5,4532,22660,17190.902211890476,5469.097788109524
155,2022-02-08,18,92,1,2046,2046,1576.07169195128,469.92830804872006
156,2022-07-17,70,50,2,3106,6212,3989.612290374761,2222.387709625239
157,2023-10-08,338,65,1,3325,3325,2469.5439949491824,855.4560050508176
158,2023-08-02,116,3,4,2352,9408,6802.23931649973,2605.76068350027
159,2023-01-26,80,79,4,4706,18824,14099.389506795438,4724.610493204562
160,2022-06-28,15,52,2,1312,2624,1987.8890904171153,636.1109095828847
161,2023-07-08,176,10,5,3874,19370,14182.465507667494,5187.5344923325065
162,2023-03-24,456,21,3,1429,4287,3392.060420184057,894.939579815943
163,2023-05-15,269,37,1,4575,4575,3535.7671187030614,1039.2328812969386
164,2022-01-15,119,15,5,3823,19115,12344.357998004807,6770.642001995193
165,2023-09-15,299,87,5,674,3370,2637.7433466875314,732.2566533124686
166,2023-10-31,188,78,1,1863,1863,1251.7859543922666,611.2140456077334
167,2022-10-16,57,79,3,3395,10185,7590.965751240446,2594.0342487595544
168,2023-04-23,199,74,1,1537,1537,1182.8783713770708,354.12162862292917
169,2022-08-19,17,9,3,3511,10533,7239.057940495098,3293.9420595049023
170,2023-02-24,434,44,2,2590,5180,3161.3628541350295,2018.6371458649705
171,2022-06-06,288,39,3,960,2880,2275.0049862671804,604.9950137328196
172,2023-07-04,406,5,5,3252,16260,9991.705131784816,6268.294868215184
173,2023-03-17,55,25,2,648,1296,867.8300060299483,428.1699939700517
174,2022-04-07,499,56,4,4933,19732,14193.01961592608,5538.9803840739205
175,2023-02-15,441,90,2,1633,3266,2036.374977428771,1229.625022571229
176,2022-10-16,269,64,3,853,2559,1964.3939979483873,594.6060020516127
177,2022-09-11,303,72,2,1607,3214,2059.1597617331013,1154.8402382668987
178,2022-07-15,87,86,2,3102,6204,4945.833345433904,1258.1666545660964
179,2023-08-21,318,52,4,2613,10452,8186.912464157252,2265.0875358427484
180,2023-06-06,438,89,3,4594,13782,9935.598398807319,3846.4016011926815
181,2023-06-01,29,76,5,4185,20925,15317.142223667684,5607.857776332316
182,2023-09-27,22,9,2,3706,7412,5238.218228176058,2173.781771823942
183,2022-04-28,321,10,1,1609,1609,1091.2572571060455,517.7427428939545
184,2022-06-08,285,10,5,4679,23395,15682.642186208861,7712.357813791139
185,2022-08-16,48,73,2,2477,4954,3855.851681598252,1098.148318401748
186,2022-08-04,5,62,5,726,3630,2596.6259211585952,1033.3740788414048
187,2023-11-27,250,90,1,3439,3439,2629.661429016357,809.338570983643
188,2022-01-15,163,99,5,1512,7560,5313.27541833555,2246.72458166445
189,2022-06-06,202,91,5,4615,23075,15261.920016147069,7813.079983852931
190,2023-10-10,467,60,1,3606,3606,2229.776934545354,1376.223065454646
191,2022-09-18,101,95,1,4436,4436,2948.783803628979,1487.216196371021
192,2022-06-06,71,19,1,3302,3302,2562.429606288591,739.570393711409
193,2022-02-16,430,38,4,1966,7864,5838.172534284393,2025.827465715607
194,2022-11-20,163,6,1,3488,3488,2640.994945126018,847.0050548739819
195,2023-11-16,173,15,5,769,3845,2901.7709121813286,943.2290878186714
196,2022-05-10,141,93,1,4306,4306,2686.920245719747,1619.079754280253
197,2023-02-15,138,47,2,2031,4062,2566.258323865381,1495.741676134619
198,2022-04-05,66,45,1,803,803,532.748623362744,270.25137663725604
199,2023-09-19,198,5,1,2432,2432,1605.6203979440725,826.3796020559275
200,2022-10-19,328,78,3,2540,7620,4672.707502301735,2947.292497698265
201,2022-10-10,228,53,5,4521,22605,14256.844694762383,8348.155305237617
202,2022-03-10,281,66,5,641,3205,2471.8436117663055,733.1563882336945
203,2023-10-22,172,62,2,1308,2616,1877.7882592320273,738.2117407679727
204,2022-01-11,316,23,4,1447,5788,3869.026792441713,1918.973207558287
205,2022-09-11,431,44,3,4451,13353,9417.81187403393,3935.1881259660695
206,2023-07-04,40,52,2,3912,7824,5103.303195141706,2720.696804858294
207,2022-05-14,7,46,2,2792,5584,4002.435100013325,1581.5648999866748
208,2023-12-13,174,19,5,1265,6325,3889.408067293412,2435.591932706588
209,2022-01-23,151,88,3,3423,10269,8015.264005533396,2253.735994466604
210,2022-12-12,211,84,5,1438,7190,4659.762188775037,2530.2378112249626
211,2022-10-29,302,47,4,2996,11984,9153.56016304407,2830.4398369559294
212,2022-12-29,86,91,5,4062,20310,14866.91539501019,5443.08460498981
213,2023-01-31,397,52,1,1762,1762,1241.5076465099828,520.4923534900172
214,2022-08-06,253,24,5,1042,5210,4094.8479120679435,1115.1520879320565
215,2022-05-21,21,17,1,3179,3179,2007.1018200481894,1171.8981799518106
216,2023-09-08,257,89,2,3454,6908,4309.59375292365,2598.40624707635
217,2022-07-29,379,46,4,3431,13724,9117.84168982897,4606.158310171029
218,2023-09-15,403,64,1,3281,3281,2513.3911688413446,767.6088311586554
219,2023-09-08,381,95,4,4739,18956,11507.055760708417,7448.944239291583
220,2023-11-14,444,28,5,3491,17455,11308.765324216907,6146.234675783093
221,2023-04-05,33,50,5,3112,15560,10657.67322052891,4902.32677947109
222,2022-12-22,260,64,2,4148,8296,6160.511688182596,2135.488311817404
223,2022-11-20,234,28,5,1699,8495,5605.532901870817,2889.467098129183
224,2022-05-13,3,86,1,2617,2617,1804.7420543571557,812.2579456428443
225,2022-05-07,347,56,2,3180,6360,4244.4738243881175,2115.5261756118825
226,2022-04-16,308,59,4,3348,13392,8281.77418625732,5110.22581374268
227,2023-08-27,489,5,2,4181,8362,6252.561717031788,2109.4382829682118
228,2023-01-13,227,54,4,3995,15980,11062.56855103657,4917.431448963431
229,2022-02-20,284,44,3,1164,3492,2662.6584642784223,829.3415357215777
230,2022-01-29,70,42,1,3662,3662,2705.993092450451,956.0069075495489
231,2023-04-07,454,72,1,3865,3865,2363.691149746504,1501.308850253496
232,2022-10-23,439,92,4,1916,7664,5364.916340280695,2299.0836597193047
233,2022-10-24,313,57,5,3608,18040,14399.007090004268,3640.9929099957317
234,2023-12-27,364,47,5,1016,5080,3360.7961860557966,1719.2038139442034
235,2023-02-11,471,76,3,1349,4047,2827.2002865363165,1219.7997134636835
236,2023-09-05,254,25,4,2401,9604,7014.823917809097,2589.176082190903
237,2023-02-09,481,44,3,1407,4221,2703.3526198407076,1517.6473801592924
238,2022-12-12,144,15,4,815,3260,2414.0347011580075,845.9652988419925
239,2023-09-14,24,51,3,3743,11229,8219.126459952724,3009.873540047276
240,2023-02-24,453,53,4,2007,8028,5418.83652536481,2609.16347463519
241,2022-07-01,425,34,1,4622,4622,3036.1356587042287,1585.8643412957713
242,2022-01-01,234,77,3,2018,6054,4745.249550707523,1308.7504492924772
243,2023-07-21,333,8,3,4650,13950,8724.395767825012,5225.604232174988
244,2023-01-06,175,77,4,2434,9736,6682.850356843087,3053.149643156913
245,2023-10-23,332,100,2,4844,9688,7298.9074780431965,2389.0925219568035
246,2023-03-07,325,70,2,2301,4602,2897.5453826755465,1704.4546173244535
247,2022-11-05,357,96,1,3122,3122,2455.719951942964,666.2800480570359
248,2022-05-17,159,21,5,1356,6780,4781.598263572768,1998.4017364272322
249,2022-07-21,348,7,5,2376,11880,8327.441995061352,3552.558004938648
250,2023-03-12,348,90,1,2025,2025,1386.8323513737214,638.1676486262786
251,2022-11-09,286,79,5,1916,9580,7410.034566903554,2169.965433096446
252,2022-04-27,18,56,4,3979,15916,12568.678692535857,3347.3213074641426
253,2023-10-28,44,49,2,4371,8742,5909.710937039163,2832.2890629608373
254,2023-07-29,155,42,1,2294,2294,1625.2502067347327,668.7497932652673
255,2022-09-01,355,23,4,3565,14260,9455.586774837311,4804.413225162689
256,2023-06-21,410,52,1,3220,3220,2169.0027945163497,1050.9972054836503
257,2023-08-25,377,79,2,4704,9408,5698.112427667447,3709.8875723325527
258,2022-03-16,231,53,5,4176,20880,15810.066582897902,5069.933417102098
259,2023-01-21,497,16,4,852,3408,2705.4974687413655,702.5025312586345
260,2022-07-29,371,96,2,3731,7462,5625.641425977488,1836.3585740225117
261,2023-04-20,316,37,1,1927,1927,1355.918681561466,571.081318438534
262,2023-02-22,402,18,3,2692,8076,6182.194140921529,1893.8058590784713
263,2022-12-13,225,20,4,2277,9108,7027.512464880127,2080.4875351198734
264,2023-06-13,217,46,1,4036,4036,2861.1386676853067,1174.8613323146933
265,2023-10-02,56,2,1,1616,1616,1272.4892993717378,343.51070062826216
266,2022-06-28,31,87,2,2820,5640,3418.031977768285,2221.968022231715
267,2022-07-01,357,94,1,1033,1033,621.8858356305758,411.1141643694242
268,2023-10-26,59,63,4,1717,6868,4232.692582616594,2635.3074173834057
269,2022-01-25,380,3,4,3488,13952,8532.64616920131,5419.353830798689
270,2022-06-29,386,46,1,2728,2728,1868.4677549339688,859.5322450660312
271,2023-12-11,353,49,2,2479,4958,3907.2224066490426,1050.7775933509574
272,2023-05-16,423,1,4,2576,10304,7573.900691823382,2730.0993081766183
273,2022-06-10,445,22,3,1031,3093,2263.737539965821,829.2624600341792
274,2022-06-26,235,93,5,3576,17880,12104.352487396682,5775.647512603318
275,2022-10-12,107,14,2,2444,4888,3454.6100875608217,1433.3899124391783
276,2022-03-04,191,92,2,4735,9470,6258.106875255137,3211.8931247448627
277,2023-10-24,480,85,5,3599,17995,12660.698024110192,5334.301975889808
278,2023-10-28,18,45,5,4857,24285,18197.53203362749,6087.467966372511
279,2022-06-05,401,96,4,4329,17316,12324.463742202026,4991.536257797974
280,2023-04-14,226,6,1,4614,4614,3154.9349332355036,1459.0650667644964
281,2022-02-18,167,65,1,3084,3084,2371.5479290302333,712.4520709697667
282,2022-03-25,71,21,3,2048,6144,4039.609810691791,2104.390189308209
283,2022-12-27,362,4,1,1988,1988,1384.2392025427655,603.7607974572345
284,2023-11-20,54,3,3,4159,12477,9927.068699150566,2549.9313008494337
285,2022-05-28,245,30,3,727,2181,1730.5456943615973,450.45430563840273
286,2023-09-22,483,31,2,4971,9942,5977.696331768716,3964.303668231284
287,2022-12-08,350,34,2,4852,9704,6855.358600055717,2848.641399944283
288,2023-04-21,76,83,4,1198,4792,3198.103417705953,1593.8965822940472
289,2022-03-04,35,20,5,937,4685,3083.876765952714,1601.1232340472861
290,2023-12-02,267,87,5,2184,10920,7854.214758081358,3065.785241918642
291,2022-12-26,317,54,3,2653,7959,5485.827221660503,2473.172778339497
292,2023-07-15,300,25,5,3414,17070,12743.92286641389,4326.07713358611
293,2022-11-23,121,15,3,3717,11151,6751.114671345696,4399.885328654304
294,2022-05-21,324,38,5,1459,7295,5729.333745137236,1565.6662548627637
295,2022-08-03,25,23,4,2339,9356,6675.6805682296335,2680.3194317703665
296,2023-03-11,432,52,2,777,1554,1145.007931048414,408.9920689515859
297,2023-12-24,160,66,2,4720,9440,6805.459264255895,2634.5407357441054
298,2022-11-14,84,57,3,4256,12768,10186.646469872272,2581.353530127728
299,2022-02-01,114,57,5,1843,9215,7346.748027309231,1868.2519726907694
300,2023-11-01,223,79,1,1214,1214,876.4816404192864,337.51835958071365
301,2022-10-12,388,52,4,2005,8020,5909.077124896237,2110.9228751037626
302,2022-11-01,166,35,5,4421,22105,15997.697286381544,6107.3027136184555
303,2023-03-05,191,74,1,3214,3214,2128.105697908366,1085.894302091634
304,2023-04-22,175,14,4,1847,7388,4717.405791044411,2670.5942089555892
305,2022-10-13,1,91,4,2942,11768,8008.743354108369,3759.256645891631
306,2022-05-24,387,14,2,4460,8920,6570.038170986075,2349.961829013925
307,2023-02-28,229,99,3,2252,6756,4129.236601146918,2626.7633988530824
308,2022-01-19,86,33,5,3005,15025,10560.487146467038,4464.512853532962
309,2022-01-18,62,52,4,2237,8948,6099.667857126476,2848.3321428735244
310,2023-08-13,320,1,5,4669,23345,16469.826723962553,6875.173276037447
311,2023-01-06,401,34,4,1608,6432,4965.795540808967,1466.2044591910326
312,2022-06-24,382,19,2,3179,6358,3875.341050917555,2482.658949082445
313,2022-07-13,206,24,3,1537,4611,3470.8140983213616,1140.1859016786384
314,2023-05-17,105,4,1,1411,1411,1034.8019715036694,376.1980284963306
315,2022-04-23,318,36,1,2596,2596,1663.4378717212444,932.5621282787556
316,2022-04-24,291,77,2,3513,7026,5247.27489242089,1778.72510757911
317,2022-08-10,250,58,4,858,3432,2399.9097043377164,1032.0902956622836
318,2023-11-09,13,32,2,1576,3152,2194.4380311952505,957.5619688047495
319,2023-10-06,163,9,3,2603,7809,5439.859530243743,2369.1404697562566
320,2022-09-21,43,80,1,4027,4027,3180.713113737178,846.286886262822
321,2022-02-24,386,67,5,2802,14010,11052.109346755693,2957.890653244307
322,2023-10-05,440,20,1,4600,4600,3600.519402950446,999.480597049554
323,2023-04-03,111,74,3,2104,6312,4906.623193643327,1405.3768063566731
324,2022-06-11,205,62,4,1575,6300,3827.360995379546,2472.639004620454
325,2023-01-15,384,58,2,4548,9096,6186.36229140241,2909.63770859759
326,2022-03-28,256,22,1,828,828,644.9916417198484,183.00835828015158
327,2022-02-24,307,67,1,3732,3732,2802.8264611453146,929.1735388546854
328,2023-04-21,438,75,5,3977,19885,13747.136033860063,6137.8639661399375
329,2022-06-27,144,89,2,1502,3004,2266.9704247600735,737.0295752399265
330,2023-01-26,146,48,5,1076,5380,3452.007948575456,1927.9920514245441
331,2022-12-15,391,8,5,826,4130,2973.4341767357473,1156.5658232642527
332,2022-01-08,301,73,4,2027,8108,5729.110013915517,2378.889986084483
333,2022-11-09,164,15,1,3321,3321,2373.549932019535,947.4500679804651
334,2023-03-19,169,32,2,1965,3930,2925.331200077913,1004.6687999220871
335,2022-11-24,478,53,4,3725,14900,11770.410231919272,3129.5897680807284
336,2022-02-23,298,67,4,2781,11124,7261.773381328435,3862.226618671565
337,2022-08-27,233,4,4,2880,11520,8658.548986444715,2861.4510135552846
338,2022-08-17,391,30,3,994,2982,2173.9620737986093,808.0379262013907
339,2023-08-02,271,13,3,1638,4914,3631.5885722665967,1282.4114277334033
340,2022-02-20,60,21,4,2916,11664,7998.983794535421,3665.016205464579
341,2023-09-01,296,41,3,1856,5568,4392.682724798915,1175.317275201085
342,2023-08-27,467,19,2,1653,3306,2300.748712491799,1005.2512875082011
343,2022-09-21,235,48,1,3749,3749,2340.56952369146,1408.4304763085402
344,2023-02-22,165,86,2,2642,5284,3889.756341846919,1394.243658153081
345,2022-04-06,194,63,1,3888,3888,2433.008622861737,1454.991377138263
346,2022-03-29,234,20,3,1624,4872,3237.6145211832422,1634.3854788167578
347,2022-03-19,368,64,2,1301,2602,1679.8541544970055,922.1458455029945
348,2022-10-15,183,37,5,2542,12710,8995.971229269962,3714.0287707300376
349,2022-04-30,333,31,4,707,2828,1893.3481963538973,934.6518036461027
350,2023-05-06,232,74,1,3154,3154,1993.2354217966226,1160.7645782033774
351,2023-03-28,361,18,1,972,972,736.9343124428016,235.06568755719843
352,2023-05-15,491,20,5,2138,10690,7415.6350844967155,3274.3649155032845
353,2022-06-14,107,82,5,635,3175,2193.575140138653,981.4248598613472
354,2022-07-01,378,11,4,4856,19424,15097.742801384642,4326.257198615358
355,2023-04-14,223,86,3,1670,5010,3545.902009165018,1464.0979908349818
356,2022-01-07,80,44,2,957,1914,1420.148225497131,493.8517745028689
357,2022-11-26,234,82,2,1936,3872,2577.2538671615152,1294.7461328384848
358,2023-11-04,381,64,2,4071,8142,5799.203806281204,2342.7961937187956
359,2022-05-31,184,34,3,2648,7944,5920.527653603077,2023.472346396923
360,2022-03-26,428,87,4,4742,18968,12505.496191774771,6462.503808225229
361,2022-05-27,185,65,2,1006,2012,1484.2661414353352,527.7338585646648
362,2023-09-16,134,55,1,3105,3105,2216.201924747827,888.798075252173
363,2023-01-16,220,74,1,2883,2883,1980.1557778852173,902.8442221147827
364,2023-07-02,288,1,1,945,945,701.7512471512099,243.2487528487901
365,2022-10-12,364,38,5,3281,16405,10882.76323739408,5522.23676260592
366,2023-12-01,202,9,5,943,4715,3502.7760901383094,1212.2239098616906
367,2022-03-23,370,95,3,617,1851,1314.6224302113296,536.3775697886704
368,2023-05-29,146,71,2,2040,4080,2648.4127457813083,1431.5872542186917
369,2023-12-10,324,17,5,3270,16350,11995.260777005084,4354.739222994916
370,2023-06-07,127,99,1,1066,1066,828.2317688087788,237.76823119122116
371,2023-01-21,457,52,5,4102,20510,13577.677400128267,6932.3225998717335
